,dteday,hr,weekday,cnt_hour,weathersit,cnt_day
0,2011-01-01,0,Sunday,16,Mist,985
1,2011-01-01,1,Sunday,40,Mist,985
2,2011-01-01,2,Sunday,32,Mist,985
3,2011-01-01,3,Sunday,13,Mist,985
4,2011-01-01,4,Sunday,1,Mist,985
5,2011-01-01,5,Sunday,1,Mist,985
6,2011-01-01,6,Sunday,2,Mist,985
7,2011-01-01,7,Sunday,3,Mist,985
8,2011-01-01,8,Sunday,8,Mist,985
9,2011-01-01,9,Sunday,14,Mist,985
10,2011-01-01,10,Sunday,36,Mist,985
11,2011-01-01,11,Sunday,56,Mist,985
12,2011-01-01,12,Sunday,84,Mist,985
13,2011-01-01,13,Sunday,94,Mist,985
14,2011-01-01,14,Sunday,106,Mist,985
15,2011-01-01,15,Sunday,110,Mist,985
16,2011-01-01,16,Sunday,93,Mist,985
17,2011-01-01,17,Sunday,67,Mist,985
18,2011-01-01,18,Sunday,35,Mist,985
19,2011-01-01,19,Sunday,37,Mist,985
20,2011-01-01,20,Sunday,36,Mist,985
21,2011-01-01,21,Sunday,34,Mist,985
22,2011-01-01,22,Sunday,28,Mist,985
23,2011-01-01,23,Sunday,39,Mist,985
24,2011-01-02,0,Monday,17,Mist,801
25,2011-01-02,1,Monday,17,Mist,801
26,2011-01-02,2,Monday,9,Mist,801
27,2011-01-02,3,Monday,6,Mist,801
28,2011-01-02,4,Monday,3,Mist,801
29,2011-01-02,6,Monday,2,Mist,801
30,2011-01-02,7,Monday,1,Mist,801
31,2011-01-02,8,Monday,8,Mist,801
32,2011-01-02,9,Monday,20,Mist,801
33,2011-01-02,10,Monday,53,Mist,801
34,2011-01-02,11,Monday,70,Mist,801
35,2011-01-02,12,Monday,93,Mist,801
36,2011-01-02,13,Monday,75,Mist,801
37,2011-01-02,14,Monday,59,Mist,801
38,2011-01-02,15,Monday,74,Mist,801
39,2011-01-02,16,Monday,76,Mist,801
40,2011-01-02,17,Monday,65,Mist,801
41,2011-01-02,18,Monday,53,Mist,801
42,2011-01-02,19,Monday,30,Mist,801
43,2011-01-02,20,Monday,22,Mist,801
44,2011-01-02,21,Monday,31,Mist,801
45,2011-01-02,22,Monday,9,Mist,801
46,2011-01-02,23,Monday,8,Mist,801
47,2011-01-03,0,Tuesday,5,Clear,1349
48,2011-01-03,1,Tuesday,2,Clear,1349
49,2011-01-03,4,Tuesday,1,Clear,1349
50,2011-01-03,5,Tuesday,3,Clear,1349
51,2011-01-03,6,Tuesday,30,Clear,1349
52,2011-01-03,7,Tuesday,64,Clear,1349
53,2011-01-03,8,Tuesday,154,Clear,1349
54,2011-01-03,9,Tuesday,88,Clear,1349
55,2011-01-03,10,Tuesday,44,Clear,1349
56,2011-01-03,11,Tuesday,51,Clear,1349
57,2011-01-03,12,Tuesday,61,Clear,1349
58,2011-01-03,13,Tuesday,61,Clear,1349
59,2011-01-03,14,Tuesday,77,Clear,1349
60,2011-01-03,15,Tuesday,72,Clear,1349
61,2011-01-03,16,Tuesday,76,Clear,1349
62,2011-01-03,17,Tuesday,157,Clear,1349
63,2011-01-03,18,Tuesday,157,Clear,1349
64,2011-01-03,19,Tuesday,110,Clear,1349
65,2011-01-03,20,Tuesday,52,Clear,1349
66,2011-01-03,21,Tuesday,52,Clear,1349
67,2011-01-03,22,Tuesday,20,Clear,1349
68,2011-01-03,23,Tuesday,12,Clear,1349
69,2011-01-04,0,Wednesday,5,Clear,1562
70,2011-01-04,1,Wednesday,2,Clear,1562
71,2011-01-04,2,Wednesday,1,Clear,1562
72,2011-01-04,4,Wednesday,2,Clear,1562
73,2011-01-04,5,Wednesday,4,Clear,1562
74,2011-01-04,6,Wednesday,36,Clear,1562
75,2011-01-04,7,Wednesday,94,Clear,1562
